name,z_mm,radius_um,focal_mm,count_requested,count_actual,height_max_um,gray_max,active_frac,r_px_mean,focal_mm_mean,amp_mean,amp_std,amp_p90,amp_p95,amp_p99,amp_p995,amp_p999,amp_p50,contrast_p995_over_p95,top_component_count,top_component_area_p50,top_component_area_p90,top_component_max_area,top_large_component_frac,hf_ratio,speckle_penalty,focus_structure_score,p999_over_mean
single_R200_f3p0,12.0,200,3.0,,1,11.94723892211914,203,0.005578246753246753,74.0740737915039,3.0,0.7240239381790161,0.06116221845149994,0.7540983557701111,0.7786885499954224,0.8565573692321777,0.8565573692321777,0.9098360538482666,0.7295082211494446,2.583332626356033,323,1.0,4.0,338,0.6830601092896175,0.14447440207004547,0.25438722890293375,0.5133678837594711,1.2566380831780015
single_R200_f3p0,15.0,200,3.0,,1,11.94723892211914,203,0.005578246753246753,74.0740737915039,3.0,0.7216596603393555,0.06700495630502701,0.7540322542190552,0.7903226017951965,0.8548387289047241,0.8548387289047241,0.9233871102333069,0.7298387289047241,2.066666600969105,341,2.0,5.0,20,0.28557013118062563,0.14304372668266296,0.5677483938296075,0.15814474072002208,1.2795326675168326
single_R200_f3p0,20.0,200,3.0,,1,11.94723892211914,203,0.005578246753246753,74.0740737915039,3.0,0.7199060916900635,0.07039515674114227,0.7637795209884644,0.7913386225700378,0.8543307185173035,0.8582677245140076,0.9035432934761047,0.7283464670181274,2.0624989946377528,372,1.0,5.0,26,0.35269709543568467,0.1273234635591507,0.4578713765612611,0.22096429513199153,1.2550849394188783
array_R110_f2p2,0.5,110,2.2,300,360,14.37694263458252,244,0.4795487012987013,40.49881362915039,2.183223247528076,0.6102670431137085,0.1913488507270813,0.8514851331710815,0.8712871670722961,0.905940592288971,0.9158415794372559,0.9356435537338257,0.6386138796806335,1.1914891600339172,496,1.0,3.0,36,0.2564901349948079,0.1541692167520523,0.636812964084859,0.07764911420684997,1.5331707066466822
array_R110_f2p2,1.0,110,2.2,300,360,14.37694263458252,244,0.4795487012987013,40.49881362915039,2.183223247528076,0.3385709822177887,0.1737857609987259,0.6318407654762268,0.7164179086685181,0.8109452724456787,0.8358209133148193,0.8805969953536987,0.3781094551086426,1.3529412386532893,342,1.0,5.0,48,0.43302180685358255,0.04896184056997299,0.15422386610825695,0.3959491329215656,2.600922824470666
array_R110_f2p2,1.5,110,2.2,300,360,14.37694263458252,244,0.4795487012987013,40.49881362915039,2.183223247528076,0.13797447085380554,0.09837120026350021,0.18518519401550293,0.24867725372314453,0.5714285373687744,0.6560846567153931,0.8042328357696533,0.15343914926052094,5.277777317083589,183,3.0,12.800000000000011,37,0.5991692627206646,0.06794372946023941,0.15129963985030814,0.8045437217780305,5.8288524738884435
array_R110_f2p2,2.0,110,2.2,300,360,14.37694263458252,244,0.4795487012987013,40.49881362915039,2.183223247528076,0.037168629467487335,0.030694331973791122,0.051948051899671555,0.051948051899671555,0.12987013161182404,0.22077922523021698,0.4025973975658417,0.03896103799343109,13.999999426305335,336,2.0,6.0,17,0.18899273104880582,0.590724527835846,0.8110072689511942,0.08313911087000496,10.831644947199555
array_R110_f2p2,2.5,110,2.2,300,360,14.37694263458252,244,0.4795487012987013,40.49881362915039,2.183223247528076,0.038740213960409164,0.030099641531705856,0.0555555559694767,0.0555555559694767,0.1666666716337204,0.21296297013759613,0.3611111342906952,0.03703703731298447,9.500000301748512,279,2.0,7.0,26,0.245067497403946,0.3654128611087799,0.754932502596054,0.12757251967663352,9.321351055513924
array_R110_f2p2,3.0,110,2.2,300,360,14.37694263458252,244,0.4795487012987013,40.49881362915039,2.183223247528076,0.10254910588264465,0.06576104462146759,0.13903743028640747,0.2085561603307724,0.3636363744735718,0.4385026693344116,0.6096256375312805,0.10695187002420425,3.263157474057712,153,5.0,12.0,37,0.6469366562824507,0.05666857957839966,0.11115332327596565,0.8777513864657658,5.9447191887652835
array_R110_f2p2,4.0,110,2.2,300,360,14.37694263458252,244,0.4795487012987013,40.49881362915039,2.183223247528076,0.32478275895118713,0.11091150343418121,0.43352600932121277,0.5028901696205139,0.6531791687011719,0.7052022814750671,0.7861272096633911,0.34682080149650574,2.2962960911958192,293,2.0,7.0,28,0.40498442367601245,0.10971099883317947,0.36266529555447,0.3537948922745389,2.420470877832346
