kind,domain,name,min_gray,max_gray,height_norm_mean,height_norm_std,grad_p95_um_per_um,grad_p995_um_per_um,curv_power_positive_frac,point_focus_frac_1_5mm,point_focus_frac_1_10mm,line_caustic_frac_1_5mm,median_point_focus_mm,spectral_centroid_norm,best_focus_score,best_z_mm,best_max_to_mean,best_p99_to_mean,best_p999_to_mean,best_bright_frac,best_logamp_grad_energy,amp_mean_at_best,amp_std_at_best,pc1,pc2,caustic_weight,caustic_focus_mm,caustic_radius_um,sampler_profile
dataset,mla,mla/17,90,159,0.5414836406707764,0.056515198200941086,0.02455788478255272,0.030810493975877762,0.5237337662337662,0.0612012987012987,0.1968181818181818,0.3193831168831169,6.258621692657471,0.36776557281929423,4.159806728363037,8.0,4.159806728363037,2.4590517445588684,3.041395606194184,0.03964285714285714,0.06066475436091423,0.8743820786476135,0.4676527976989746,3.036878824234009,-4.053497314453125,,,,
dataset,mla,mla/18,90,255,0.6624293327331543,0.22136223316192627,0.09530583024024963,0.11475799977779388,0.5226623376623377,0.21292207792207793,0.2184090909090909,0.5240259740259741,1.6013420820236206,0.36712367893074127,4.330160140991211,8.0,4.330160140991211,2.6136068934015007,3.3550710816068405,0.041233766233766234,0.06259582936763763,0.8674845695495605,0.4815649390220642,-13.123913764953613,-1.1203385591506958,,,,
dataset,mla,mla/19,90,219,0.7446901798248291,0.07691313326358795,0.03349579498171806,0.042141206562519073,0.5216883116883116,0.13915584415584414,0.2214935064935065,0.4589285714285714,4.567768573760986,0.36944557147255086,3.727954864501953,10.0,3.727954864501953,2.3932351691598264,2.843610051611076,0.03675324675324675,0.05680996552109718,0.8775362372398376,0.45530277490615845,0.21031291782855988,-3.905158519744873,,,,
dataset,mla,mla/20,90,173,0.4675847291946411,0.1439128816127777,0.06238029524683952,0.0732322707772255,0.5105844155844156,0.27636363636363637,0.3004220779220779,0.6591558441558442,2.8794753551483154,0.25496498204390894,4.119048118591309,6.0,4.119048118591309,2.7502944961547993,3.456598250673587,0.04366883116883117,0.05871063098311424,0.8513253331184387,0.5127984285354614,-3.564971446990967,0.22060585021972656,,,,
dataset,mla,mla/21,90,176,0.4837164878845215,0.14333108067512512,0.06278350949287415,0.0742512121796608,0.5038636363636364,0.2727922077922078,0.2961038961038961,0.6585064935064935,2.8398213386535645,0.2583663525899446,4.476795673370361,8.0,4.476795673370361,2.5951584827826175,3.1978281049405957,0.041850649350649353,0.05570072680711746,0.8657471537590027,0.4834730625152588,-3.763228416442871,-0.016849946230649948,,,,
dataset,mla,mla/22,90,193,0.5263302326202393,0.16039088368415833,0.0696549192070961,0.08201804012060165,0.5110389610389611,0.28344155844155844,0.2993181818181818,0.6781493506493507,2.585010051727295,0.2564135910215915,3.8708815574645996,12.0,3.8708815574645996,2.453294253797149,2.9388171239719734,0.03814935064935065,0.05595012754201889,0.8741304874420166,0.45915594696998596,-4.882842063903809,0.4811229705810547,,,,
dataset,mla,mla/23,90,176,0.47717252373695374,0.14726707339286804,0.06396429240703583,0.07425462454557419,0.5074025974025974,0.27714285714285714,0.3000974025974026,0.661525974025974,2.7962138652801514,0.25634031744817537,3.902853012084961,6.0,3.902853012084961,2.7828962965477633,3.3981043518320306,0.043084415584415586,0.05750032514333725,0.8497879505157471,0.5164916515350342,-3.8848440647125244,0.17732122540473938,,,,
dataset,mla,mla/24,90,199,0.535081684589386,0.1673451066017151,0.07243045419454575,0.0846792683005333,0.5098701298701299,0.2867207792207792,0.30194805194805197,0.6869805194805195,2.500342845916748,0.2540700047808087,3.9426395893096924,6.0,3.9426395893096924,2.6702020499108303,3.4202747516881744,0.04071428571428572,0.05936165153980255,0.8643282055854797,0.49190086126327515,-5.388987064361572,0.5559257864952087,,,,
dataset,mla,mla/25,90,255,0.57689368724823,0.27482151985168457,0.11611220985651016,0.12791337072849274,0.4927597402597403,0.2766883116883117,0.2787012987012987,0.5952597402597403,1.4319349527359009,0.25568848084530876,3.875560760498047,10.0,3.875560760498047,2.4494463388280425,3.0306449399944833,0.03811688311688312,0.053507864475250244,0.8736293911933899,0.4639536738395691,-12.8452787399292,2.854430675506592,,,,
dataset,mla,mla/26,90,255,0.48030850291252136,0.3080851137638092,0.1273893415927887,0.13480620086193085,0.4683116883116883,0.18597402597402599,0.18678571428571428,0.42694805194805197,1.148970127105713,0.2653281313204752,3.8463943004608154,20.0,3.8463943004608154,2.478871532074192,3.0726747499729488,0.03788961038961039,0.0570899173617363,0.8653836846351624,0.457308292388916,-15.003531455993652,3.7360727787017822,,,,
dataset,mla,mla/27,90,255,0.6284683346748352,0.24943460524082184,0.10762980580329895,0.12245020270347595,0.49954545454545457,0.2906818181818182,0.293961038961039,0.7298701298701299,1.6037529706954956,0.2571103707512795,4.386313438415527,6.0,4.386313438415527,2.962921917109897,3.6881804143405432,0.04961038961038961,0.07181959599256516,0.8400943875312805,0.5324805974960327,-11.280753135681152,2.354262590408325,,,,
dataset,mla,mla/28,90,166,0.45729485154151917,0.13754026591777802,0.05993412807583809,0.07082244008779526,0.5048051948051948,0.271525974025974,0.30055194805194807,0.6479220779220779,3.009082317352295,0.25471072894207675,4.221950531005859,8.0,4.221950531005859,2.754649578109983,3.4540030381102897,0.04415584415584416,0.06114308908581734,0.8546030521392822,0.5025432705879211,-2.9911158084869385,-0.04700879752635956,,,,
dataset,mla,mla/29,90,255,0.5422818064689636,0.2879916727542877,0.12075650691986084,0.1310526579618454,0.48707792207792205,0.23474025974025975,0.23633116883116884,0.4893181818181818,1.2964434623718262,0.2618796407802925,4.077785015106201,6.0,4.077785015106201,2.616306409962163,3.2699945743391945,0.041655844155844154,0.05948345363140106,0.8697373270988464,0.48238605260849,-13.863609313964844,3.06182599067688,,,,
dataset,mla,mla/30,90,255,0.36848482489585876,0.32318776845932007,0.13351459801197052,0.13889484107494354,0.4153246753246753,0.10915584415584416,0.10931818181818181,0.3642207792207792,0.9336065649986267,0.28435300372711303,4.757652759552002,8.0,4.757652759552002,2.7577018772749584,3.91788391614266,0.039512987012987014,0.06332716345787048,0.8613848090171814,0.49319371581077576,-16.498363494873047,4.088637351989746,,,,
dataset,mla,mla/31,90,188,0.5142871141433716,0.15601849555969238,0.06775949895381927,0.08006616681814194,0.5104870129870129,0.280974025974026,0.30022727272727273,0.6757467532467533,2.6621744632720947,0.2559582905001707,3.9330217838287354,12.0,3.9330217838287354,2.5055150573834903,3.0432148187807893,0.03847402597402597,0.058992162346839905,0.8696783781051636,0.4688204526901245,-4.540786266326904,0.40869733691215515,,,,
dataset,mla,mla/32,90,193,0.5279282331466675,0.1591874212026596,0.06940853595733643,0.08136074990034103,0.5076948051948051,0.2814935064935065,0.29883116883116884,0.6781493506493507,2.578524112701416,0.2573835958765179,4.058439254760742,10.0,4.058439254760742,2.4205666252721167,2.9383525169337927,0.03814935064935065,0.05475939065217972,0.8732606172561646,0.464337021112442,-5.01467227935791,0.23833496868610382,,,,
dataset,mla,mla/33,90,255,0.685572624206543,0.21629862487316132,0.09438228607177734,0.111789770424366,0.5071428571428571,0.29185064935064936,0.2983116883116883,0.7203896103896104,1.9085792303085327,0.25365014463702507,6.9425835609436035,12.0,6.9425835609436035,3.7104060784281656,5.636988699604512,0.04256493506493506,0.06883455812931061,0.8053571581840515,0.5722749829292297,-8.877960205078125,1.5516616106033325,,,,
dataset,mla,mla/34,90,255,0.48554545640945435,0.30666884779930115,0.1268831491470337,0.1348247081041336,0.4700974025974026,0.18925324675324676,0.19,0.41785714285714287,1.1617954969406128,0.26604066399149445,3.596252679824829,15.0,3.596252679824829,2.3910795372637015,2.91860883707406,0.03766233766233766,0.05672632157802582,0.874891996383667,0.45440003275871277,-14.972460746765137,3.6950933933258057,,,,
dataset,mla,mla/35,90,169,0.4673349857330322,0.13798430562019348,0.060252595692873,0.07102707773447037,0.5062012987012987,0.2697727272727273,0.29724025974025975,0.6481168831168831,2.952889919281006,0.25881446141923187,4.2244720458984375,8.0,4.2244720458984375,2.649847533489509,3.34765749075874,0.04116883116883117,0.05901971459388733,0.8611342310905457,0.4911951720714569,-3.181903123855591,0.016919421032071114,,,,
dataset,mla,mla/36,90,184,0.49853405356407166,0.15394902229309082,0.06687089055776596,0.07820030301809311,0.5087337662337662,0.27905844155844156,0.29964285714285716,0.670974025974026,2.7147018909454346,0.2526653984354651,4.227633953094482,15.0,4.227633953094482,2.4943094408171604,3.0535364019782167,0.03909090909090909,0.0609266571700573,0.8672880530357361,0.4640934467315674,-4.339016437530518,0.31957828998565674,,,,
dataset,mla,mla/37,90,199,0.5405308604240417,0.16353370249271393,0.07085900753736496,0.08411533385515213,0.508961038961039,0.281525974025974,0.29818181818181816,0.6814285714285714,2.5084519386291504,0.2566021814579779,4.417292594909668,15.0,4.417292594909668,2.404804393993074,2.968270657085184,0.03792207792207792,0.05688423290848732,0.873153805732727,0.4550549387931824,-5.307507514953613,0.4236528277397156,,,,
dataset,mla,mla/38,90,255,0.4877951443195343,0.3060767948627472,0.1267952173948288,0.13487394154071808,0.4688311688311688,0.18801948051948053,0.18935064935064935,0.4184090909090909,1.1686490774154663,0.26655514837519206,3.8558168411254883,10.0,3.8558168411254883,2.369191734716957,2.8058101388462227,0.035194805194805195,0.054289914667606354,0.8828252553939819,0.4505650997161865,-14.940427780151367,3.7063138484954834,,,,
dataset,mla,mla/39,90,176,0.48055869340896606,0.1453620046377182,0.0630415827035904,0.07440216839313507,0.5082467532467533,0.2748376623376623,0.2988636363636364,0.6605844155844156,2.8236331939697266,0.2567242294745092,4.0257649421691895,6.0,4.0257649421691895,2.7947765802016753,3.39288391124857,0.042694805194805195,0.05770568177103996,0.8504327535629272,0.5150517821311951,-3.67211651802063,0.0911531075835228,,,,
dataset,mla,mla/40,90,169,0.33016812801361084,0.20660315454006195,0.07857714593410492,0.08195031434297562,0.4840584415584416,0.3312337662337662,0.3424675324675325,0.685487012987013,2.384892702102661,0.20583438221935874,4.574142932891846,6.0,4.574142932891846,2.871703382555964,3.4996388971614154,0.042727272727272725,0.058046236634254456,0.8438010215759277,0.5269175171852112,-4.801494598388672,2.6982946395874023,,,,
